"antibiotics exclusion","location","condition","Group 0 sample size","Group 1 sample size","Group 0 name","Group 1 name","Group 1 definition","host species","body_site","sequencing type","16S variable region (lower bound)","16S variable region (upper bound)","sequencing platform","statistical test","LDA Score >","significance threshold","MHT correction","matched on","confounders controlled for","Pielou","Shannon","Chao1","Simpson","Inverse Simpson","Richness","Study","Page Name"
"NYU included who had not been on long-term antibiotic treatment","United States of America","adenoma","323","144","controls","conventional adenoma cases","conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.1","Yes","","sex, age, body mass index","","decreased","","","","decreased","Study 1","Experiment 1"
"NYU included who had not been on long-term antibiotic treatment","United States of America","hyperplastic polyp","323","40","controls","hyperplastic polyp cases","conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.1","Yes","","sex, age, body mass index","","unchanged","","","","unchanged","Study 1","Experiment 2"
"NYU included who had not been on long-term antibiotic treatment","United States of America","sessile serrated adenoma","323","33","controls","Sessile serrated adenoma cases","conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.1","Yes","","sex, age, body mass index","","unchanged","","","","unchanged","Study 1","Experiment 3"
"NYU included who had not been on long-term antibiotic treatment","United States of America","adenoma","323","87","controls","Proximal conventional adenoma cases","conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.1","Yes","","sex, age, body mass index","","unchanged","","","","unchanged","Study 1","Experiment 4"
"NYU included who had not been on long-term antibiotic treatment","United States of America","adenoma","323","55","controls","Distal conventional adenoma cases","conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.1","Yes","","sex, age, body mass index","","unchanged","","","","unchanged","Study 1","Experiment 5"
"NYU included who had not been on long-term antibiotic treatment","United States of America","adenoma","323","121","controls","Non-advanced conventional adenoma cases","conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.1","Yes","","sex, age, body mass index","","unchanged","","","","unchanged","Study 1","Experiment 6"
"NYU included who had not been on long-term antibiotic treatment","United States of America","adenoma","323","22","controls","advanced conventional adenoma cases","conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.1","Yes","","sex, age, body mass index","","decreased","","","","decreased","Study 1","Experiment 7"
"","United States of America","squamous cell carcinoma","121","121","normal adjacent tissues","squamous cell carcinoma tissues","Not stated","Homo sapiens","oral gland","16S","1","4","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","","","","","Study 2","Experiment 1"
"","United States of America","squamous cell carcinoma","","","T0-T2 low tumor stages patients","T3-T4 high tumor stages patients","Not stated","Homo sapiens","oral gland","16S","1","4","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 2","Experiment 2"
"","United States of America","squamous cell carcinoma","","","T0-T2 stages patients","T3-T4 stages patients","Not stated","Homo sapiens","oral gland","16S","1","4","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 2","Experiment 3"
