"source","description","date","curator","revision","Increased abundance in Group 1","NCBI","Experiment","Study","Page Name"
"Table 2 + Supplemental Table S5 + S3+ S4","Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level","2018-09-05","Levi Waldron","Shaimaa Elsafoury","increased","91061,1236,1654,1716,1301,162289,189330,33024,40544,2037,2049,506,186826,1300,31977,91347,1653,57037,1386,186817","Experiment 1","Study 1","Signature 1"
"Table 2 + Supplemental Table S5 + S3+ S4","Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level","2018-09-05","Levi Waldron","Shaimaa Elsafoury","decreased","100883,1117","Experiment 1","Study 1","Signature 2"
"Table 2 + Supplemental Table S5 + S3+ S4","Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level","2018-09-05","Levi Waldron","Shaimaa Elsafoury","increased","207244,57037","Experiment 2","Study 1","Signature 1"
"Table 2 + Supplemental Table S5 + S3+ S4","Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level","2018-09-05","Levi Waldron","Shaimaa Elsafoury","decreased","1236,100883,91347","Experiment 2","Study 1","Signature 2"
"Table 2 + Supplemental Table S5 + S3+ S4","Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level","2018-09-05","Levi Waldron","Shaimaa Elsafoury","decreased","526524,1236","Experiment 3","Study 1","Signature 1"
"Supplemental Table S6 + S3","Differentially abundant taxa (phylum‐OTU level) between controls and proximal or distal conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.","2018-09-05","Marianthi Thomatos","Shaimaa Elsafoury","increased","2037,2049,1654,1653,1716,1300,1485,836,91061,186826,162289,1301,1737406,165779,283168,31977,207244,189330,40544,33024,506,91347,1236,1853231","Experiment 4","Study 1","Signature 1"
"Supplemental Table S6 + S3","Differentially abundant taxa (phylum‐OTU level) between controls and proximal or distal conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.","2018-09-05","Marianthi Thomatos","Shaimaa Elsafoury","decreased","100883","Experiment 4","Study 1","Signature 2"
"Supplemental Table S6 + S3","Differentially abundant taxa (phylum‐OTU level) between controls and proximal or distal conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.","2018-09-05","Marianthi Thomatos","Shaimaa Elsafoury","decreased","81852,1350,186801,k__Bacteria;p__Firmicutes;c__Clostridia;o__ Clostridiales;f__ Mogibacteriaceae,990719,31979,1485,508458,31969","Experiment 5","Study 1","Signature 1"
"Supplemental Table S6 + S3","Differentially abundant taxa (phylum‐OTU level) between controls and non‐advanced or advanced conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.","2018-09-05","Marianthi Thomatos","Shaimaa Elsafoury","increased","1654,283168,91061,186826,57037,1300,1301,189330,31977,40544,506,33024","Experiment 6","Study 1","Signature 1"
"Supplemental Table S7 + S3","Differentially abundant taxa (phylum‐OTU level) between controls and non‐advanced or advanced conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.","2018-09-05","Marianthi Thomatos","Shaimaa Elsafoury","increased","2037,2049,1654,1716,836,1737406,165779,150022,162289,135625,712,724,1653","Experiment 7","Study 1","Signature 1"
